nom;places;horaire;longitude;latitude;gmap;debarcadere;LOCATION;STREET FROM;STREET TO;CURB
W 30 ST entre 12 AV et 11 AV;;24h;-74.005340;40.753889;https://maps.google.com/maps?q=40.7538892,-74.005340;FAUX;W 30 ST;12 AV;11 AV;S
W 33 ST entre 11 AV et 12 AV;;24h;-74.003978;40.755751;https://maps.google.com/maps?q=40.7557512,-74.003978;FAUX;W 33 ST;11 AV;12 AV;S
W 37 ST entre 10 AV et 11 AV;;24h;-73.999297;40.757161;https://maps.google.com/maps?q=40.7571612,-73.999297;FAUX;W 37 ST;10 AV;11 AV;S
W 38 ST entre 10 AV et 9 AV;;24h;-73.996030;40.756584;https://maps.google.com/maps?q=40.7565842,-73.996030;FAUX;W 38 ST;10 AV;9 AV;S
W 38 ST entre FDR DR et 1 AV;;7h – 19h;-73.971196;40.746110;https://maps.google.com/maps?q=40.7461102,-73.971196;FAUX;W 38 ST;FDR DR;1 AV;N
1 AV entre W 38 ST et W 41 ST;;7h – 19h;-73.971013;40.747268;https://maps.google.com/maps?q=40.7472682,-73.971013;FAUX;1 AV;W 38 ST;W 41 ST;E
W 39 ST entre 9 AV et 11 AV;;24h;-73.99684;40.757747;https://maps.google.com/maps?q=40.7577472,-73.99684;FAUX;W 39 ST;9 AV;11 AV;N
11 AV entre W 40 ST et W 39 ST;;24h;-73.999477;40.759224;https://maps.google.com/maps?q=40.7592242,-73.999477;FAUX;11 AV;W 40 ST;W 39 ST;W
W 44 ST entre 12 AV et 11 AV;;10h - 18h;-73.998613;40.762664;https://maps.google.com/maps?q=40.7626642,-73.998613;FAUX;W 44 ST;12 AV;11 AV;N
W 45 ST entre 11 AV et 12 AV;;24h;-73.997996;40.763210;https://maps.google.com/maps?q=40.7632102,-73.997996;FAUX;W 45 ST;11 AV;12 AV;N
W 46 ST entre 11 AV et 10 AV;;24h;-73.995650;40.763028;https://maps.google.com/maps?q=40.7630282,-73.995650;FAUX;W 46 ST;11 AV;10 AV;S
W 48 ST entre 12 AV et 11 AV;;24h;-73.996602;40.765065;https://maps.google.com/maps?q=40.7650652,-73.996602;FAUX;W 48 ST;12 AV;11 AV;N
W 49 ST entre 11 AV et 12 AV;;24h;-73.996154;40.765693;https://maps.google.com/maps?q=40.7656932,-73.996154;FAUX;W 49 ST;11 AV;12 AV;N
W 50 ST entre 12 AV et 11 AV;;24h;-73.995660;40.766317;https://maps.google.com/maps?q=40.7663172,-73.995660;FAUX;W 50 ST;12 AV;11 AV;S
W 51 ST entre 11 AV et 12 AV;;24h;-73.995209;40.766941;https://maps.google.com/maps?q=40.7669412,-73.995209;FAUX;W 51 ST;11 AV;12 AV;S
12 AV entre W 52 ST et W 54 ST;;24h;-73.995287;40.768625;https://maps.google.com/maps?q=40.7686252,-73.995287;FAUX;12 AV;W 52 ST;W 54 ST;E
W 59 ST entre 12 AV et WEST END AV;;24h;-73.993446;40.772864;https://maps.google.com/maps?q=40.7728642,-73.993446;FAUX;W 59 ST;12 AV;WEST END AV;S
E 97 ST entre FDR DR et 1 AV;;24h;-73.943889;40.783821;https://maps.google.com/maps?q=40.7838212,-73.943889;FAUX;E 97 ST;FDR DR;1 AV;S
AMSTERDAM AV entre CATHEDRAL PKY et W 113 ST;;8h - 19h;-73.962819;40.804467;https://maps.google.com/maps?q=40.8044672,-73.962819;FAUX;AMSTERDAM AV;CATHEDRAL PKY;W 113 ST;E
W 118 ST entre LENOX AV et 5 AV;;Dimanche seulement 10h - 16h;-73.947038;40.802643;https://maps.google.com/maps?q=40.8026432,-73.947038;FAUX;W 118 ST;LENOX AV;5 AV;S
EDGECOMBE AV entre W 162 ST et W 160 ST;;Dimanche seulement 10h - 16h;-73.937493;40.835520;https://maps.google.com/maps?q=40.8355202,-73.937493;FAUX;EDGECOMBE AV;W 162 ST;W 160 ST;W
WATER ST  entre FULTON ST et JOHN ST;;24h;-74.004579;40.707101;https://maps.google.com/maps?q=40.7071012,-74.004579;FAUX;WATER ST ;FULTON ST;JOHN ST;W
NORTH END AV entre CHAMBERS ST et WARREN ST;;24h;-74.014058;40.717281;https://maps.google.com/maps?q=40.7172812,-74.014058;FAUX;NORTH END AV;CHAMBERS ST;WARREN ST;W
SOUTH ST entre OLD SLIP et BROAD ST;;10h - 19h Sauf dimanche<br>Parcomètre 3h;-74.009477;40.702366;https://maps.google.com/maps?q=40.7023662,-74.009477;FAUX;SOUTH ST;OLD SLIP;BROAD ST;W
SOUTH ST entre PIKE SLIP et MARKET SLIP;;8h - 18h Sauf dimanche<br>Parcomètre 3h;-73.992755;40.709673;https://maps.google.com/maps?q=40.7096732,-73.992755;FAUX;SOUTH ST;PIKE SLIP;MARKET SLIP;W
WEST ST entre VESEY ST et BARCLAY ST;;10h-16h L-V et  7h-19h S-D<br>Parcomètre 3h;-74.013402;40.714405;https://maps.google.com/maps?q=40.7144052,-74.013402;FAUX;WEST ST;VESEY ST;BARCLAY ST;E
BARCLAY ST entre CHURCH ST et WEST BROADWAY;;7h - 19h Sauf dimanche<br>Parcomètre 3h;-74.010426;40.713084;https://maps.google.com/maps?q=40.7130842,-74.010426;FAUX;BARCLAY ST;CHURCH ST;WEST BROADWAY;N
BARCLAY ST entre GREENWICH ST et WEST ST;;10h-16h L-V et  7h-19h S-D<br>Parcomètre 3h;-74.012709;40.714120;https://maps.google.com/maps?q=40.7141202,-74.012709;FAUX;BARCLAY ST;GREENWICH ST;WEST ST;N
GREENWICH ST entre BATTERY PL et BROOKLYN BATTERY TUNNEL;;15h - 19h Sauf Dimanche<br>Parcomètre 3h;-74.014649;40.705710;https://maps.google.com/maps?q=40.7057102,-74.014649;FAUX;GREENWICH ST;BATTERY PL;BROOKLYN BATTERY TUNNEL;W
